CUSTOMERNAME,DATE,SATISFACCION
The Sharp Gifts Warehouse,5/11/2004,4
The Sharp Gifts Warehouse,4/01/2005,4
The Sharp Gifts Warehouse,22/04/2005,10
"Tokyo Collectables, Ltd",15/06/2004,4
"Tokyo Collectables, Ltd",23/11/2004,7
"Tokyo Collectables, Ltd",26/01/2005,6
"Tokyo Collectables, Ltd",22/04/2005,10
"Toms Spezialitten, Ltd",20/11/2003,4
"Toms Spezialitten, Ltd",16/10/2004,8
"Toys of Finland, Co,",10/06/2003,9
"Toys of Finland, Co,",30/09/2004,8
"Toys of Finland, Co,",2/09/2005,6
"Toys4GrownUps,com",25/08/2003,10
"Toys4GrownUps,com",18/11/2003,7
"Toys4GrownUps,com",1/12/2005,8
"UK Collectables, Ltd,",10/06/2003,4
"UK Collectables, Ltd,",6/01/2004,7
"UK Collectables, Ltd,",4/08/2005,6
"Vida Sport, Ltd",22/02/2004,4
"Vida Sport, Ltd",30/08/2004,7
"Vitachrome Inc,",1/10/2003,6
"Vitachrome Inc,",4/05/2004,5
"Vitachrome Inc,",11/05/2004,7
"Volvo Model Replicas, Co",24/03/2003,6
"Volvo Model Replicas, Co",11/03/2004,5
"Volvo Model Replicas, Co",11/09/2004,4
"Volvo Model Replicas, Co",19/11/2004,8
"West Coast Collectables Co,",12/01/2003,6
"West Coast Collectables Co,",29/01/2004,10
